nrClients,clientIndex,rep,threads,concurrency,overwrite,time,avg,std,tps
2,1,24,1,32,1.0,60,238.0,134.84,133573.0
2,2,24,1,32,1.0,60,262.0,92.75,121485.0
1,1,25,1,32,1.0,60,252.0,72.51,126602.0
2,1,25,1,32,1.0,60,226.0,93.06,140958.0
2,2,25,1,32,1.0,60,239.0,100.47,133410.0
1,1,1,1,64,1.0,60,402.0,130.36,158537.0
2,1,1,1,64,1.0,60,501.0,188.68,127417.0
2,2,1,1,64,1.0,60,438.0,174.7,145504.0
1,1,2,1,64,1.0,60,388.0,185.24,164235.0
2,1,2,1,64,1.0,60,432.0,411.84,147747.0
2,2,2,1,64,1.0,60,553.0,162.9,115457.0
1,1,3,1,64,1.0,60,326.0,83.26,195907.0
2,1,3,1,64,1.0,60,453.0,240.17,140989.0
2,2,3,1,64,1.0,60,468.0,243.01,136359.0
1,1,4,1,64,1.0,60,397.0,127.41,160755.0
2,1,4,1,64,1.0,60,460.0,251.89,138855.0
2,2,4,1,64,1.0,60,458.0,254.36,139342.0
1,1,5,1,64,1.0,60,341.0,89.93,187230.0
2,1,5,1,64,1.0,60,481.0,195.07,132803.0
2,2,5,1,64,1.0,60,455.0,199.95,140235.0
1,1,6,1,64,1.0,60,382.0,125.07,166906.0
2,1,6,1,64,1.0,60,466.0,178.42,137033.0
2,2,6,1,64,1.0,60,454.0,180.06,140590.0
1,1,7,1,64,1.0,60,403.0,121.72,158494.0
2,1,7,1,64,1.0,60,479.0,260.09,133273.0
2,2,7,1,64,1.0,60,433.0,242.27,147285.0
1,1,8,1,64,1.0,60,324.0,87.36,196767.0
2,1,8,1,64,1.0,60,473.0,241.74,134894.0
